method;model;instance;sat;time;nodes;propagations;memory
SMT;sym_model;35x35;true;24.271;21457;3966717;189.55
SMT;sym_model;36x36;true;42.454;30754;7084316;91.32
SMT;sym_model;37x37;true;178.149;121821;38672489;189.55
SMT;sym_model;38x38;true;19.12;17460;2821474;91.32
SMT;sym_model;39x39;true;571.279;202553;55241230;193.43
SMT;sym_model;40x40;true;8.42;11007;1357752;211.94
SMT;sym_model;rotation_test;false;-;-;-;-
SMT;rot_model;8x8;true;0.042;75;1641;628.39
SMT;rot_model;9x9;true;0.103;490;13868;628.39
SMT;rot_model;10x10;true;0.144;721;26685;211.94
SMT;rot_model;11x11;true;0.067;579;5680;211.94
SMT;rot_model;12x12;true;1.408;5214;443395;211.94
SMT;rot_model;13x13;true;0.448;2119;140276;211.94
SMT;rot_model;14x14;true;2.592;8111;756747;211.94
SMT;rot_model;15x15;true;2.032;7798;683163;211.94
SMT;rot_model;16x16;true;3.967;11880;1238221;211.94
SMT;rot_model;17x17;true;26.176;5651;364315;211.94
SMT;rot_model;18x18;true;28.966;18584;1035514;211.94
SMT;rot_model;19x19;true;32.796;22376;2354741;211.94
SMT;rot_model;20x20;true;29.592;16027;1459495;211.94
SMT;rot_model;21x21;true;46.402;39691;8637344;189.55
SMT;rot_model;22x22;true;35.597;25020;3011708;211.94
SMT;rot_model;23x23;true;36.571;37053;2927184;189.55
SMT;rot_model;24x24;true;78.53;83289;15993390;228.93
SMT;rot_model;25x25;true;156.29;140045;25825689;211.94
SMT;rot_model;26x26;true;318.52;266107;58347287;189.55
SMT;rot_model;27x27;true;289.714;248500;62248419;228.93
SMT;rot_model;28x28;true;194.506;175627;37562461;127.42
SMT;rot_model;29x29;true;1112.908;564825;144571773;320.54
SMT;rot_model;30x30;true;143.401;141093;29682469;228.93
SMT;rot_model;31x31;true;53.787;55579;7421610;228.93
SMT;rot_model;32x32;true;3117.747;1898216;741127154;1725.19
SMT;rot_model;33x33;true;249.668;218937;46436633;320.54
SMT;rot_model;34x34;true;36.893;24340;4007587;320.54
SMT;rot_model;35x35;true;231.419;182898;42674674;320.54
SMT;rot_model;36x36;true;313.999;222110;57051458;320.54
SMT;rot_model;37x37;true;2972.604;1033061;282960043;628.39
SMT;rot_model;38x38;true;60.413;56373;10389330;80.68
SMT;rot_model;39x39;true;7008.588;1689961;444372515;863.49
SMT;rot_model;40x40;true;53.782;42954;10674602;628.39
SMT;rot_model;rotation_test;true;0.025;83;571;628.39
SMT;dup_sym_model;8x8;true;0.013;56;218;34.0
SMT;dup_sym_model;9x9;true;0.025;82;470;34.0
SMT;dup_sym_model;10x10;true;0.041;243;1326;628.39
SMT;dup_sym_model;11x11;true;0.035;119;1666;628.39
SMT;dup_sym_model;12x12;true;0.151;275;29075;628.39
SMT;dup_sym_model;13x13;true;0.085;291;18090;628.39
SMT;dup_sym_model;14x14;true;0.161;315;37741;628.39
SMT;dup_sym_model;15x15;true;0.184;378;36141;628.39
SMT;dup_sym_model;16x16;true;0.078;545;4713;628.39
SMT;dup_sym_model;17x17;true;0.378;1514;112910;628.39
SMT;dup_sym_model;18x18;true;2.422;6789;817023;628.39
SMT;dup_sym_model;19x19;true;0.454;1352;145895;628.39
SMT;dup_sym_model;20x20;true;0.927;3306;341149;628.39
